"gender","Age","Attitude","Points"
"F",53,37,25
"M",55,31,12
"F",49,25,24
"M",53,35,10
"M",49,37,22
"F",38,38,21
"M",50,35,21
"F",37,29,31
"M",37,38,24
"F",42,21,26
"M",37,39,31
"F",34,38,31
"F",34,24,23
"F",34,30,25
"M",35,26,21
"F",33,41,31
"F",32,26,20
"F",44,26,22
"M",29,17,9
"F",30,27,24
"M",27,39,28
"M",29,34,30
"F",31,27,24
"F",37,23,9
"F",26,37,26
"F",26,44,32
"M",30,41,32
"F",33,37,33
"F",33,25,29
"M",28,30,30
"M",26,34,19
"F",27,32,23
"F",25,20,19
"F",31,24,12
"M",20,42,10
"F",39,16,11
"M",38,31,20
"M",24,38,26
"M",26,38,31
"M",25,33,20
"F",30,17,23
"F",25,25,12
"M",30,32,24
"F",48,35,17
"F",24,32,29
"F",40,42,23
"M",25,31,28
"F",23,39,31
"F",25,19,23
"F",23,21,25
"M",27,25,18
"M",25,32,19
"M",23,32,22
"F",23,26,25
"F",23,23,21
"F",45,38,9
"F",22,28,28
"F",23,33,25
"M",21,48,29
"M",21,40,33
"F",21,40,33
"F",21,47,25
"F",26,23,18
"F",25,31,22
"F",26,27,17
"M",21,41,25
"F",23,34,28
"F",22,25,22
"F",22,21,26
"F",22,14,11
"F",23,19,29
"M",22,37,22
"M",23,32,21
"M",24,28,28
"F",22,41,33
"F",23,25,16
"M",22,28,31
"M",20,38,22
"M",22,31,31
"M",21,35,23
"F",22,36,26
"F",23,26,12
"M",21,44,26
"M",22,45,31
"M",29,32,19
"F",29,39,30
"F",21,25,12
"M",28,33,17
"F",21,33,18
"F",30,30,19
"F",21,29,21
"M",23,33,24
"F",21,33,28
"F",21,35,17
"F",20,36,18
"M",22,37,17
"M",21,42,23
"M",21,32,26
"F",20,50,28
"M",22,47,31
"F",20,36,27
"F",20,36,25
"M",24,29,23
"F",20,35,21
"F",19,40,27
"F",21,35,28
"F",21,32,23
"F",22,26,21
"F",25,20,25
"F",21,27,11
"F",22,32,19
"F",25,33,24
"F",20,39,28
"M",24,33,21
"F",20,30,24
"M",21,37,24
"F",20,25,20
"F",20,29,19
"M",31,39,30
"F",20,36,22
"F",22,29,16
"F",22,21,16
"M",21,31,19
"M",22,40,30
"F",21,31,23
"F",21,23,19
"F",21,28,18
"F",21,37,28
"F",20,26,21
"F",21,24,19
"F",25,30,27
"M",21,28,24
"F",24,29,21
"F",20,24,20
"M",21,31,28
"F",20,19,12
"F",20,20,21
"F",18,38,28
"F",21,34,31
"F",19,37,18
"F",21,29,25
"F",20,23,19
"M",21,41,21
"F",20,27,16
"F",21,35,7
"F",20,34,21
"F",18,32,17
"M",22,33,22
"F",22,33,18
"M",24,35,25
"F",19,32,24
"F",20,31,23
"F",20,28,23
"F",17,17,26
"M",19,19,12
"F",20,35,32
"F",20,24,22
"F",20,21,20
"F",20,29,21
"F",19,19,23
"F",19,20,20
"F",22,42,28
"M",35,41,31
"F",18,37,18
"F",19,36,30
"M",21,18,19
